listing,borough,airbnbScore,housingScore,latitude,longitude
13724380,Southwark,0.4141162869279948,0.6744046577955469,51.49851,-0.10254
13726253,Southwark,0.4141162869279948,0.6744046577955469,51.49459,-0.0422
13737095,Southwark,0.4141162869279948,0.6744046577955469,51.46931,-0.05904
13755887,Southwark,0.4141162869279948,0.6744046577955469,51.47154,-0.07549
13764436,Southwark,0.4141162869279948,0.6744046577955469,51.45257,-0.07956
13775404,Southwark,0.4141162869279948,0.6744046577955469,51.49731,-0.08266
1381631,Southwark,0.4141162869279948,0.6744046577955469,51.47632,-0.07401
13825068,Southwark,0.4141162869279948,0.6744046577955469,51.48348,-0.10412
13826342,Southwark,0.4141162869279948,0.6744046577955469,51.48634,-0.10444
13827645,Southwark,0.4141162869279948,0.6744046577955469,51.48139,-0.09756
13839213,Southwark,0.4141162869279948,0.6744046577955469,51.50388,-0.10578
13844050,Southwark,0.4141162869279948,0.6744046577955469,51.45873,-0.06904
13890498,Southwark,0.4141162869279948,0.6744046577955469,51.45867,-0.07456
13917981,Southwark,0.4141162869279948,0.6744046577955469,51.46447,-0.05944
13918471,Southwark,0.4141162869279948,0.6744046577955469,51.46836,-0.06261
13920577,Southwark,0.4141162869279948,0.6744046577955469,51.47058,-0.06278
13941375,Southwark,0.4141162869279948,0.6744046577955469,51.47669,-0.09838
13947707,Southwark,0.4141162869279948,0.6744046577955469,51.50328,-0.07576
13950872,Southwark,0.4141162869279948,0.6744046577955469,51.46089,-0.08093
13953349,Southwark,0.4141162869279948,0.6744046577955469,51.44957,-0.07076
13954081,Southwark,0.4141162869279948,0.6744046577955469,51.50167,-0.03712
13977000,Southwark,0.4141162869279948,0.6744046577955469,51.50558,-0.08898
13990828,Southwark,0.4141162869279948,0.6744046577955469,51.50101,-0.08827
14033758,Southwark,0.4141162869279948,0.6744046577955469,51.46256,-0.07825
14069730,Southwark,0.4141162869279948,0.6744046577955469,51.48442,-0.05437
14082190,Southwark,0.4141162869279948,0.6744046577955469,51.46184,-0.04643
14082520,Southwark,0.4141162869279948,0.6744046577955469,51.49123,-0.04838
14098820,Southwark,0.4141162869279948,0.6744046577955469,51.50397,-0.08013
14114396,Southwark,0.4141162869279948,0.6744046577955469,51.4965,-0.10926
14114658,Southwark,0.4141162869279948,0.6744046577955469,51.47693,-0.05464
14174254,Southwark,0.4141162869279948,0.6744046577955469,51.49937,-0.04824
14184650,Southwark,0.4141162869279948,0.6744046577955469,51.50109,-0.08181
14190908,Southwark,0.4141162869279948,0.6744046577955469,51.48803,-0.07267
14195432,Southwark,0.4141162869279948,0.6744046577955469,51.49965,-0.05879
14197382,Southwark,0.4141162869279948,0.6744046577955469,51.49599,-0.09349
14225142,Southwark,0.4141162869279948,0.6744046577955469,51.50036,-0.10081
14260111,Southwark,0.4141162869279948,0.6744046577955469,51.49658,-0.10017
14265765,Southwark,0.4141162869279948,0.6744046577955469,51.49932,-0.04759
14270575,Southwark,0.4141162869279948,0.6744046577955469,51.50066,-0.08951
1430154,Southwark,0.4141162869279948,0.6744046577955469,51.45838,-0.08488
14319911,Southwark,0.4141162869279948,0.6744046577955469,51.48266,-0.06404
14330517,Southwark,0.4141162869279948,0.6744046577955469,51.50629,-0.09355
14350394,Southwark,0.4141162869279948,0.6744046577955469,51.48257,-0.10329
14352116,Southwark,0.4141162869279948,0.6744046577955469,51.49348,-0.09168
14363291,Southwark,0.4141162869279948,0.6744046577955469,51.50313,-0.07772
14366681,Southwark,0.4141162869279948,0.6744046577955469,51.50016,-0.04337
14403716,Southwark,0.4141162869279948,0.6744046577955469,51.50006,-0.08543
14419528,Southwark,0.4141162869279948,0.6744046577955469,51.48887,-0.07188
14481981,Southwark,0.4141162869279948,0.6744046577955469,51.4835,-0.09212
14513888,Southwark,0.4141162869279948,0.6744046577955469,51.49506,-0.10771
14527492,Southwark,0.4141162869279948,0.6744046577955469,51.49186,-0.09828
14531807,Southwark,0.4141162869279948,0.6744046577955469,51.47062,-0.08496
14571517,Southwark,0.4141162869279948,0.6744046577955469,51.44962,-0.06391
1458126,Southwark,0.4141162869279948,0.6744046577955469,51.45633,-0.07553
14586907,Southwark,0.4141162869279948,0.6744046577955469,51.50012,-0.04438
14589957,Southwark,0.4141162869279948,0.6744046577955469,51.49704,-0.10972
14590356,Southwark,0.4141162869279948,0.6744046577955469,51.45282,-0.06783
14591213,Southwark,0.4141162869279948,0.6744046577955469,51.47818,-0.10136
14598828,Southwark,0.4141162869279948,0.6744046577955469,51.49659,-0.05456
14618273,Southwark,0.4141162869279948,0.6744046577955469,51.49543,-0.10601
14669665,Southwark,0.4141162869279948,0.6744046577955469,51.49127,-0.07118
14707291,Southwark,0.4141162869279948,0.6744046577955469,51.49375,-0.08563
14731157,Southwark,0.4141162869279948,0.6744046577955469,51.49361,-0.08576
14765907,Southwark,0.4141162869279948,0.6744046577955469,51.49304,-0.10203
14767755,Southwark,0.4141162869279948,0.6744046577955469,51.47723,-0.08805
14807289,Southwark,0.4141162869279948,0.6744046577955469,51.48578,-0.08906
14813658,Southwark,0.4141162869279948,0.6744046577955469,51.50424,-0.09359
1482792,Southwark,0.4141162869279948,0.6744046577955469,51.50826,-0.10713
14889832,Southwark,0.4141162869279948,0.6744046577955469,51.50368,-0.03312
14906157,Southwark,0.4141162869279948,0.6744046577955469,51.46054,-0.07176
14923998,Southwark,0.4141162869279948,0.6744046577955469,51.49946,-0.06464
14931488,Southwark,0.4141162869279948,0.6744046577955469,51.49546,-0.11077
14942493,Southwark,0.4141162869279948,0.6744046577955469,51.50116,-0.08088
14993945,Southwark,0.4141162869279948,0.6744046577955469,51.50153,-0.07828
15005015,Southwark,0.4141162869279948,0.6744046577955469,51.49091,-0.08919
15018694,Southwark,0.4141162869279948,0.6744046577955469,51.49578,-0.06756
15023944,Southwark,0.4141162869279948,0.6744046577955469,51.46063,-0.0719
15024673,Southwark,0.4141162869279948,0.6744046577955469,51.50217,-0.09226
15039897,Southwark,0.4141162869279948,0.6744046577955469,51.50125,-0.0913
15040045,Southwark,0.4141162869279948,0.6744046577955469,51.49361,-0.10137
15040264,Southwark,0.4141162869279948,0.6744046577955469,51.5018,-0.09082
15110927,Southwark,0.4141162869279948,0.6744046577955469,51.4245,-0.08342
15119794,Southwark,0.4141162869279948,0.6744046577955469,51.50474,-0.09299
1513798,Southwark,0.4141162869279948,0.6744046577955469,51.46889,-0.06921
15139677,Southwark,0.4141162869279948,0.6744046577955469,51.5046,-0.09434
15164149,Southwark,0.4141162869279948,0.6744046577955469,51.49836,-0.08072
