from_borough,to_borough,similarity
Merton,Waltham Forest,0.3422476760788159
Kensington and Chelsea,Newham,0.3365685072786101
Havering,Waltham Forest,0.3346945289714174
Ealing,Redbridge,0.3241469289827663
City of London,Lambeth,0.3075460629860989
Bromley,Waltham Forest,0.3054183596667668
Barking and Dagenham,Lewisham,0.3037627586737762
Croydon,Ealing,0.2845398194169872
Brent,Waltham Forest,0.2808306463871188
Camden,Newham,0.2725373948241761
Haringey,Merton,0.2715552388693258
Harrow,Richmond upon Thames,0.2607032332813143
Ealing,Enfield,0.2388288620148894
Haringey,Wandsworth,0.2264164339647074
Barking and Dagenham,Ealing,0.225549266727711
Haringey,Richmond upon Thames,0.2244190715192758
Ealing,Sutton,0.2230721108616572
Lewisham,Merton,0.2144448547524493
Hackney,Lewisham,0.2105900841508186
Kingston upon Thames,Lewisham,0.2068344908960741
Ealing,Hounslow,0.2043735295907815
Barnet,Newham,0.2023821748907835
Brent,Lewisham,0.1996392106976246
City of London,Richmond upon Thames,0.188866561778115
Lewisham,Sutton,0.1803808644724851
Barnet,Brent,0.1795365435250278
Barnet,Lewisham,0.1692728910154253
Haringey,Tower Hamlets,0.1679794205934197
Bexley,Ealing,0.1642692587642568
Greenwich,Lewisham,0.1600819931613834
Lewisham,Redbridge,0.1482258843892741
Hammersmith and Fulham,Haringey,0.1416256635074293
Haringey,Waltham Forest,0.1381861488993218
Ealing,Greenwich,0.1358329114366917
Enfield,Lewisham,0.1241617467237385
Lewisham,Southwark,0.1241206040491142
Barking and Dagenham,Haringey,0.0858349930608228
Ealing,Kingston upon Thames,0.0850474615143976
Haringey,Kingston upon Thames,0.0768189501100794
Lewisham,Wandsworth,0.0624636526421399
Bexley,Lewisham,0.0511649753305733
Croydon,Lewisham,0.0426371002506291
Ealing,Havering,0.0387111591470081
Haringey,Newham,0.0371905048327254
Islington,Lewisham,0.0343154195907821
Ealing,Lambeth,0.018337846255338
Camden,Haringey,0.0149936357438945
City of London,Haringey,0.0006684373716775
Greenwich,Haringey,-0.0077664668517056
Hammersmith and Fulham,Lewisham,-0.0202608040152366
Haringey,Westminster,-0.0272133437620058
Hillingdon,Lewisham,-0.0287693631426523
Bromley,Ealing,-0.0329163317068987
Haringey,Sutton,-0.0447771845669515
Harrow,Lewisham,-0.047220762759196
Lewisham,Tower Hamlets,-0.0840072193752464
Hounslow,Lewisham,-0.1047530039771753
Ealing,Wandsworth,-0.1115918147266522
Barnet,Richmond upon Thames,-0.1122158287026314
Ealing,Hammersmith and Fulham,-0.1145557330824909
Enfield,Haringey,-0.1149818674876641
Bexley,Haringey,-0.1424129023771888
Haringey,Redbridge,-0.1458006026666409
Bromley,Lewisham,-0.1475739617845643
Lewisham,Richmond upon Thames,-0.1568596380416836
Haringey,Kensington and Chelsea,-0.1626555579658115
Ealing,Hackney,-0.1655435009353755
Havering,Lewisham,-0.176926973752839
Ealing,Merton,-0.1820622598551899
Lambeth,Waltham Forest,-0.1960299812139545
Brent,Harrow,-0.2003230264328312
Harrow,Newham,-0.2028318854011248
Richmond upon Thames,Waltham Forest,-0.2079605323709234
Bromley,Haringey,-0.2176363522396521
Brent,Haringey,-0.2202679454703088
Croydon,Haringey,-0.2310196962095792
Ealing,Southwark,-0.2338982624028216
Ealing,Kensington and Chelsea,-0.2398138837104211
Ealing,Westminster,-0.2419109572950127
Ealing,Haringey,-0.252432071525916
Ealing,Tower Hamlets,-0.2548065085903766
Lewisham,Westminster,-0.2594872731054228
Brent,City of London,-0.2628948853218645
Camden,Lewisham,-0.2935798188106458
Haringey,Havering,-0.2965978906182943
Hillingdon,Newham,-0.3240801092789427
Haringey,Hounslow,-0.3319826865866615
Brent,Hillingdon,-0.3419168326162561
Newham,Redbridge,-0.3431458883483457
Ealing,Islington,-0.3503099140829915
City of London,Merton,-0.3574413178164811
Haringey,Hillingdon,-0.3605065323962099
Camden,Ealing,-0.3606906838499429
Barking and Dagenham,Newham,-0.3791585729944346
Kensington and Chelsea,Lewisham,-0.3835492636447379
Hackney,Waltham Forest,-0.3874818957139316
Bromley,City of London,-0.3889794587679371
Croydon,Newham,-0.3968856305286894
City of London,Newham,-0.4023267103091434
Barnet,Haringey,-0.4127923075357205
Newham,Sutton,-0.4202120777813869
Islington,Richmond upon Thames,-0.4204117339325858
Enfield,Newham,-0.4212059696648166
Brent,Redbridge,-0.4222875716967827
City of London,Havering,-0.4273950096761412
Waltham Forest,Wandsworth,-0.4357612917954449
Brent,Croydon,-0.4471778667049394
