listing,listingName,borough,airbnbScore,housingScore,latitude,longitude,price,reviews
12049574,Newly Refurbished 2bd-Westminster near London Eye,Southwark,0.4141162869279948,0.6744046577955469,51.49892,-0.10851,156.0,2.46
12068046,In the heart of everything,Southwark,0.4141162869279948,0.6744046577955469,51.49466,-0.09953,90.0,0.03
12077371,"Bermondsey, London",Southwark,0.4141162869279948,0.6744046577955469,51.4941,-0.08286,75.0,2.03
1208247,Central London Apartment,Southwark,0.4141162869279948,0.6744046577955469,51.50133,-0.06868,87.0,2.55
12101827,Perfect 2 bedroom apartment near the Shard,Southwark,0.4141162869279948,0.6744046577955469,51.50051,-0.0867,199.0,0.32
12111729,Lovely flat with terrace to rent,Southwark,0.4141162869279948,0.6744046577955469,51.50074,-0.0776,80.0,0.05
12123879,A beautiful flat in central London,Southwark,0.4141162869279948,0.6744046577955469,51.49196,-0.0922,99.0,0.0
12169346,"2 kingsize bed newly refurbished flat, Herne Hill",Southwark,0.4141162869279948,0.6744046577955469,51.44335,-0.09376,70.0,1.02
12190237,Great London Apartment for Couple Family,Southwark,0.4141162869279948,0.6744046577955469,51.49633,-0.08492,170.0,1.48
1219352,Stylish mid-century modern one-bed house SE21,Southwark,0.4141162869279948,0.6744046577955469,51.42996,-0.07749,70.0,0.04
1219421,Nice Studio close to London Bridge,Southwark,0.4141162869279948,0.6744046577955469,51.48703,-0.07464,75.0,2.88
12206203,Bright Split level apartment,Southwark,0.4141162869279948,0.6744046577955469,51.50092,-0.03434,65.0,0.0
1221768,Zone 1 flat in fantastic building,Southwark,0.4141162869279948,0.6744046577955469,51.49415,-0.10003,120.0,0.31
12224188,1 Bed Flat to let in SE15,Southwark,0.4141162869279948,0.6744046577955469,51.48109,-0.07653,50.0,0.05
12225196,Luminous Penthouse appartment - Tower bridge,Southwark,0.4141162869279948,0.6744046577955469,51.50134,-0.07665,150.0,0.0
12305125,Hot package flat in London,Southwark,0.4141162869279948,0.6744046577955469,51.48706,-0.092,90.0,0.0
12307194,Charming Home from Home with Balcony in Nunhead,Southwark,0.4141162869279948,0.6744046577955469,51.46782,-0.05656,80.0,0.08
12312442,Lovely Flat close to Tower Bridge,Southwark,0.4141162869279948,0.6744046577955469,51.5013,-0.07479,158.0,1.02
12314277,Spacious Family Home,Southwark,0.4141162869279948,0.6744046577955469,51.45322,-0.06117,110.0,0.0
12340837,The LightHouse,Southwark,0.4141162869279948,0.6744046577955469,51.49413,-0.05331,100.0,1.74
12340846,Lovely 5 bedroom house in London.,Southwark,0.4141162869279948,0.6744046577955469,51.45493,-0.0571,200.0,0.13
12349872,Beautiful 2 bed house with  garden,Southwark,0.4141162869279948,0.6744046577955469,51.49015,-0.09281,103.0,2.46
